district_num,alloc_B01003_001E,alloc_B03002_001E,alloc_B03002_003E,alloc_B03002_004E,alloc_B03002_012E,alloc_B15003_001E,alloc_B15003_022E,alloc_B15003_023E,alloc_B15003_024E,alloc_B15003_025E,alloc_B25003_001E,alloc_B25003_002E,alloc_pop_weight,alloc_income_wt,alloc_age_wt,total_pop,white_pct,black_pct,hispanic_pct,college_pct,owner_occ_pct,median_income,median_age,district_land_area_sqmi,pop_density
35,124212.639601,124212.639601,101170.096335,10268.984217,2477.311414,90390.429145,25231.257397,12277.869421,2293.633293,1708.785524,50205.048979,41284.832248,124212.639601,14096434795.010017,5623291.803079,124212.639601,0.814491,0.082673,0.019944,0.459247,0.822324,113486.315405,45.271494,184.695863,672.525295
36,121437.736626,121437.736626,95957.972606,10080.685938,5912.534279,83995.184433,17085.712166,9490.522302,1616.329231,1245.477896,54322.111314,32170.523274,121437.736626,8944647542.299522,4672972.319315,121437.736626,0.790182,0.083011,0.048688,0.350473,0.592218,73656.243856,38.480397,42.086067,2885.461736
37,121283.139453,121283.139453,89992.389760,14692.326191,6801.210070,85857.255186,20672.416160,11662.172389,2338.370263,1649.134967,52058.035978,34506.733721,121283.139453,11134213020.702078,5146441.844641,121283.139453,0.742002,0.121141,0.056077,0.423052,0.662851,91803.469723,42.433284,99.018468,1224.853728
38,128226.924870,128226.924870,54880.004799,60146.772629,4830.445923,81253.557300,10065.403786,4804.697264,703.364721,549.467014,54475.659683,27583.663088,128226.924870,5574830257.644127,4839514.142814,128226.924870,0.427991,0.469065,0.037671,0.198427,0.506348,43476.284433,37.741794,66.140737,1938.698149
39,107910.705644,107910.705644,74033.721977,22111.280825,3403.492070,76558.813724,12909.501280,5867.304284,776.616561,567.573487,46773.541820,32237.444099,107910.705644,8073897450.766294,4551762.379270,107910.705644,0.686065,0.204903,0.031540,0.262817,0.689224,74820.171017,42.180823,81.688488,1321.002599
40,116822.851338,116822.851338,107956.571848,2583.199902,1582.470226,81594.608294,11312.112078,5362.094830,748.549849,737.217493,46328.003030,35904.662468,116822.851338,9322655044.151089,4947392.444735,116822.851338,0.924105,0.022112,0.013546,0.222563,0.775010,79801.639297,42.349527,680.051671,171.785257
41,113789.521687,113789.521687,75548.502014,23554.424026,7845.664875,80464.358994,15595.458659,5608.424962,1132.414717,864.953588,51370.720493,29345.633382,113789.521687,7703028931.946124,4553528.402304,113789.521687,0.663932,0.207000,0.068949,0.288342,0.571252,67695.415340,40.017115,56.171580,2025.748982
42,116729.712585,116729.712585,58344.694740,37492.051585,13123.210532,76513.358026,8193.872437,3585.547956,498.233163,270.189984,48742.679862,25474.071062,116729.712585,5418718262.897632,4334088.272268,116729.712585,0.499827,0.321187,0.112424,0.163995,0.522624,46421.070890,37.129264,338.505434,344.838520
43,108887.602715,108887.602715,74993.009119,18216.271273,8067.479641,72917.012123,11642.193390,4839.325562,1072.478005,907.644796,47326.703339,29178.171379,108887.602715,6789299870.304930,4139394.037821,108887.602715,0.688719,0.167294,0.074090,0.253187,0.616527,62351.449578,38.015292,34.774223,3131.273474
44,119799.250490,119799.250490,103551.755295,2943.273939,5717.397195,83938.832001,20537.075324,11243.231861,2932.200068,1780.755526,47802.556307,37590.255539,119799.250490,12859214309.937937,5147712.837156,119799.250490,0.864377,0.024568,0.047725,0.434760,0.786365,107339.689166,42.969491,246.658531,485.688657
45,123305.637313,123305.637313,85623.422881,13699.930890,8997.309872,83109.856295,22795.781961,9351.048783,1356.780390,1353.623489,48031.463825,35093.894048,123305.637313,12614486315.818298,4858570.704419,123305.637313,0.694400,0.111105,0.072968,0.419412,0.730644,102302.592085,39.402665,125.516186,982.388338
46,126642.723536,126642.723536,99684.674964,9671.160206,7361.989641,83052.163723,17284.065606,6928.687961,1033.262867,1065.726109,46540.278840,33198.190190,126642.723536,12233148358.875441,4888998.906340,126642.723536,0.787133,0.076366,0.058132,0.316810,0.713322,96595.746027,38.604657,122.852986,1030.847742
47,120610.283673,120610.283673,92168.244152,8595.643438,9065.547524,72626.562769,10418.007072,4587.472475,957.726158,1929.779753,43593.906593,27503.889959,120610.283673,7649341611.927695,4363308.878473,120610.283673,0.764182,0.071268,0.075164,0.246370,0.630911,63421.968500,36.176922,143.384101,841.169159
48,118480.920704,118480.920704,106707.091626,4493.418577,2119.754311,82184.785651,16623.093083,7067.775523,1142.957454,750.397330,47415.905819,34556.539638,118480.920704,9521536743.763811,4995682.318019,118480.920704,0.900627,0.037925,0.017891,0.311301,0.728796,80363.460102,42.164445,164.977474,718.164229
49,121265.063427,121265.063427,86691.476928,18580.680600,6079.534233,82777.340314,13673.223468,5769.392064,1378.935069,704.905077,51635.212606,29791.978805,121265.063427,7887793038.112913,4833668.333735,121265.063427,0.714892,0.153224,0.050134,0.260053,0.576970,65045.882261,39.860354,63.540480,1908.469435
50,113103.870730,113103.870730,101647.846794,4583.044436,2564.276508,82151.932887,10476.790973,4510.448299,564.470282,428.565345,47951.085336,35461.402938,113103.870730,7596128444.264987,4957002.821810,113103.870730,0.898712,0.040521,0.022672,0.194521,0.739533,67160.640880,43.826995,227.451552,497.265768
51,113473.713032,113473.713032,105783.905441,748.856387,4192.016529,78936.502138,10232.571728,3844.037956,593.582744,251.106164,46478.888601,32903.831743,113473.713032,7485517726.423334,4732822.096628,113473.713032,0.932233,0.006599,0.036943,0.189029,0.707931,65966.976196,41.708533,696.380981,162.947749
52,123091.939393,123091.939393,97495.401738,8561.033870,9692.684481,86306.264863,17073.368948,7281.584003,1285.870469,789.613831,50106.399599,38132.623223,123091.939393,10697874881.001392,5080431.266315,123091.939393,0.792054,0.069550,0.078743,0.306240,0.761033,86909.629775,41.273468,86.148071,1428.841512
53,108226.609672,108226.609672,70737.197932,11047.630103,19894.557623,74463.074798,11959.887850,5749.724306,927.433509,624.281226,44595.300392,29867.989637,108226.609672,7842290234.863016,4460060.749591,108226.609672,0.653603,0.102079,0.183823,0.258670,0.669756,72461.756482,41.210390,57.293401,1888.989084
54,133954.754702,133954.754702,115564.749425,3368.336027,8056.687188,94291.292317,13142.653650,6348.648818,1258.932835,1027.031316,51614.002275,39816.698010,133954.754702,10252313737.757734,5771405.191025,133954.754702,0.862715,0.025145,0.060145,0.230957,0.771432,76535.646387,43.084736,1224.324251,109.411175
55,122767.134843,122767.134843,109517.052198,1615.343251,4388.812524,82268.364252,19264.854961,9755.499180,1389.734370,1198.356609,45047.752621,38120.356440,122767.134843,13570161637.804852,5044012.555624,122767.134843,0.892071,0.013158,0.035749,0.384211,0.846221,110535.785128,41.086017,283.679936,432.766366
