district,statewide_d_pct,win_prob,sigma_i,sigma_source,incumbency_shift
13,41.0,1.0,0.02327909372548424,shrunk_4pt,0.0
2,41.0,1.0,0.046243258224299005,prior_only,0.0
21,41.0,1.0,0.0444732248868849,shrunk_2pt,0.0
38,41.0,1.0,0.046243258224299005,prior_only,0.0
33,41.0,1.0,0.046243258224299005,prior_only,0.0
24,41.0,1.0,0.03931674119938526,shrunk_2pt,0.0
7,41.0,0.9996,0.046243258224299005,prior_only,0.0
26,41.0,0.9996,0.046243258224299005,prior_only,0.0
9,41.0,0.9987,0.046243258224299005,prior_only,0.0
42,41.0,0.9955,0.046243258224299005,prior_only,0.0
8,41.0,0.9929,0.04149445919805966,shrunk_2pt,0.0
43,41.0,0.9281,0.04141207229588298,shrunk_2pt,0.0
41,41.0,0.8412,0.046243258224299005,prior_only,0.0
5,41.0,0.7988,0.046243258224299005,prior_only,0.0
16,41.0,0.782,0.046243258224299005,prior_only,0.0
6,41.0,0.7819,0.03987976648050284,shrunk_2pt,0.0
4,41.0,0.7154,0.03929644674190579,shrunk_2pt,0.0
11,41.0,0.5583,0.041946262280916496,shrunk_2pt,0.0
58,41.0,0.5399,0.046243258224299005,prior_only,0.0
19,41.0,0.5397,0.04316857399821586,shrunk_2pt,0.0
28,41.0,0.4979,0.028988076157790803,shrunk_4pt,0.0
34,41.0,0.4255,0.03876463319237573,shrunk_2pt,0.0
27,41.0,0.4095,0.03869462782660454,shrunk_2pt,0.0
53,41.0,0.3832,0.04192091505846978,shrunk_2pt,0.0
15,41.0,0.3583,0.046243258224299005,prior_only,0.0
14,41.0,0.2023,0.03990244416748726,shrunk_2pt,0.0
10,41.0,0.1865,0.04229098671158475,shrunk_2pt,0.0
31,41.0,0.1935,0.046243258224299005,prior_only,0.0
23,41.0,0.1058,0.03905647775388147,shrunk_2pt,0.0
36,41.0,0.0944,0.03932308887968287,shrunk_2pt,0.0
49,41.0,0.0879,0.03895325034755685,shrunk_2pt,0.0
52,41.0,0.0755,0.038724948948183756,shrunk_2pt,0.0
35,41.0,0.1108,0.046243258224299005,prior_only,0.0
64,41.0,0.0441,0.043845325043149565,shrunk_2pt,0.0
17,41.0,0.0464,0.046243258224299005,prior_only,0.0
60,41.0,0.0383,0.046243258224299005,prior_only,0.0
39,41.0,0.0203,0.04047903264826666,shrunk_2pt,0.0
72,41.0,0.0291,0.04831661441098122,shrunk_2pt,0.0
32,41.0,0.012,0.0408933423742721,shrunk_2pt,0.0
44,41.0,0.0186,0.046243258224299005,prior_only,0.0
75,41.0,0.0055,0.03869207221304435,shrunk_2pt,0.0
37,41.0,0.0095,0.046243258224299005,prior_only,0.0
29,41.0,0.0074,0.046243258224299005,prior_only,0.0
89,41.0,0.0012,0.040486447600887855,shrunk_2pt,0.0
73,41.0,0.0016,0.046243258224299005,prior_only,0.0
68,41.0,0.0014,0.046243258224299005,prior_only,0.0
57,41.0,0.0001,0.0386898982492774,shrunk_2pt,0.0
59,41.0,0.0008,0.046243258224299005,prior_only,0.0
70,41.0,0.0,0.0390067544937981,shrunk_2pt,0.0
65,41.0,0.0004,0.046243258224299005,prior_only,0.0
56,41.0,0.0,0.03954543516689933,shrunk_2pt,0.0
74,41.0,0.0,0.03885677339974896,shrunk_2pt,0.0
45,41.0,0.0,0.039497491958850224,shrunk_2pt,0.0
61,41.0,0.0001,0.040505534023629886,shrunk_2pt,0.0
54,41.0,0.0001,0.042460330670396784,shrunk_2pt,0.0
66,41.0,0.0,0.03881097456312374,shrunk_2pt,0.0
99,41.0,0.0001,0.041880751839472014,shrunk_2pt,0.0
47,41.0,0.0,0.04075872356366718,shrunk_2pt,0.0
50,41.0,0.0003,0.046243258224299005,prior_only,0.0
48,41.0,0.0,0.03870392324480088,shrunk_2pt,0.0
95,41.0,0.0002,0.04844025308913485,shrunk_2pt,0.0
46,41.0,0.0,0.03869169947985534,shrunk_2pt,0.0
88,41.0,0.0,0.026258343170883415,shrunk_4pt,0.0
62,41.0,0.0,0.038787270068147854,shrunk_2pt,0.0
86,41.0,0.0,0.02042796468887392,shrunk_4pt,0.0
94,41.0,0.0,0.052099588641748774,shrunk_2pt,0.0
67,41.0,0.0,0.046243258224299005,prior_only,0.0
92,41.0,0.0,0.046243258224299005,prior_only,0.0
96,41.0,0.0,0.040050704265211595,shrunk_2pt,0.0
77,41.0,0.0,0.03869087436772964,shrunk_2pt,0.0
51,41.0,0.0,0.046243258224299005,prior_only,0.0
76,41.0,0.0,0.046243258224299005,prior_only,0.0
71,41.0,0.0,0.038781463130462705,shrunk_2pt,0.0
30,41.0,0.0,0.02806587660059381,shrunk_3pt,0.0
97,41.0,0.0,0.039069238137432856,shrunk_2pt,0.0
12,41.0,0.0,0.046243258224299005,prior_only,0.0
79,41.0,0.0,0.038729145337064154,shrunk_2pt,0.0
81,41.0,0.0,0.046243258224299005,prior_only,0.0
55,41.0,0.0,0.03971511677106638,shrunk_2pt,0.0
83,41.0,0.0,0.03613161278105033,shrunk_3pt,0.0
90,41.0,0.0003,0.07715327858788477,shrunk_3pt,0.0
78,41.0,0.0,0.046243258224299005,prior_only,0.0
98,41.0,0.0,0.046243258224299005,prior_only,0.0
69,41.0,0.0,0.0411616812319351,shrunk_2pt,0.0
93,41.0,0.0,0.046243258224299005,prior_only,0.0
63,41.0,0.0,0.03880601126809399,shrunk_2pt,0.0
80,41.0,0.0,0.02661148274072227,shrunk_3pt,0.0
40,41.0,0.0,0.044010025410574784,shrunk_2pt,0.0
87,41.0,0.0,0.030851601588244317,shrunk_3pt,0.0
91,41.0,0.0,0.046243258224299005,prior_only,0.0
82,41.0,0.0,0.03869014172291746,shrunk_2pt,0.0
85,41.0,0.0,0.04790997476350241,shrunk_2pt,0.0
84,41.0,0.0,0.03936930703783644,shrunk_2pt,0.0
18,41.5,1.0,0.046243258224299005,prior_only,0.0
20,41.5,1.0,0.046243258224299005,prior_only,0.0
22,41.5,1.0,0.046243258224299005,prior_only,0.0
25,41.5,1.0,0.04549751675684551,shrunk_2pt,0.0
3,41.5,1.0,0.046243258224299005,prior_only,0.0
1,41.5,1.0,0.046243258224299005,prior_only,0.0
13,41.5,1.0,0.02327909372548424,shrunk_4pt,0.0
2,41.5,1.0,0.046243258224299005,prior_only,0.0
21,41.5,1.0,0.0444732248868849,shrunk_2pt,0.0
38,41.5,1.0,0.046243258224299005,prior_only,0.0
33,41.5,1.0,0.046243258224299005,prior_only,0.0
24,41.5,1.0,0.03931674119938526,shrunk_2pt,0.0
7,41.5,0.9998,0.046243258224299005,prior_only,0.0
26,41.5,0.9997,0.046243258224299005,prior_only,0.0
9,41.5,0.9991,0.046243258224299005,prior_only,0.0
42,41.5,0.9968,0.046243258224299005,prior_only,0.0
8,41.5,0.9949,0.04149445919805966,shrunk_2pt,0.0
43,41.5,0.9432,0.04141207229588298,shrunk_2pt,0.0
41,41.5,0.8659,0.046243258224299005,prior_only,0.0
5,41.5,0.8278,0.046243258224299005,prior_only,0.0
16,41.5,0.8125,0.046243258224299005,prior_only,0.0
6,41.5,0.817,0.03987976648050284,shrunk_2pt,0.0
4,41.5,0.757,0.03929644674190579,shrunk_2pt,0.0
11,41.5,0.6049,0.041946262280916496,shrunk_2pt,0.0
58,41.5,0.5825,0.046243258224299005,prior_only,0.0
19,41.5,0.5853,0.04316857399821586,shrunk_2pt,0.0
28,41.5,0.5664,0.028988076157790803,shrunk_4pt,0.0
34,41.5,0.4765,0.03876463319237573,shrunk_2pt,0.0
27,41.5,0.4604,0.03869462782660454,shrunk_2pt,0.0
53,41.5,0.4295,0.04192091505846978,shrunk_2pt,0.0
15,41.5,0.3994,0.046243258224299005,prior_only,0.0
14,41.5,0.2394,0.03990244416748726,shrunk_2pt,0.0
10,41.5,0.2199,0.04229098671158475,shrunk_2pt,0.0
31,41.5,0.2245,0.046243258224299005,prior_only,0.0
23,41.5,0.1311,0.03905647775388147,shrunk_2pt,0.0
36,41.5,0.1176,0.03932308887968287,shrunk_2pt,0.0
49,41.5,0.1102,0.03895325034755685,shrunk_2pt,0.0
52,41.5,0.0956,0.038724948948183756,shrunk_2pt,0.0
35,41.5,0.1326,0.046243258224299005,prior_only,0.0
64,41.5,0.0558,0.043845325043149565,shrunk_2pt,0.0
17,41.5,0.0579,0.046243258224299005,prior_only,0.0
60,41.5,0.0482,0.046243258224299005,prior_only,0.0
