district,composite_lean,gov_2018_lean,statewide_avg_2018_lean,uss_2018_lean,pre_2020_lean,gov_2022_lean,statewide_avg_2022_lean,uss_2022_lean,pre_2024_lean,uss_2024_lean,dem_votes_2018,rep_votes_2018,dem_share_2018,margin_2018,winner_2018,contested_2018,dem_votes_2020,rep_votes_2020,dem_share_2020,margin_2020,winner_2020,contested_2020,dem_votes_2022,rep_votes_2022,dem_share_2022,margin_2022,winner_2022,contested_2022,dem_votes_2024,rep_votes_2024,dem_share_2024,margin_2024,winner_2024,contested_2024,candidate_effect_2024,candidate_effect_2022,candidate_effect_2020,candidate_effect_2018
77,-0.133545,-0.133047,-0.134896,-0.144938,-0.147359,-0.116787,-0.131956,-0.135531,-0.141546,-0.140756,,,,,,False,,,,,,False,11823.000000,26636.000000,0.307418,-0.385163,R,True,15729,35555,0.306704,-0.386592,R,True,-0.003185,0.066382,,
51,-0.137724,-0.113436,-0.090356,-0.106438,-0.169504,-0.126374,-0.135932,-0.141479,-0.169685,-0.158022,,,,,,False,,,,,,False,0.000000,30520.000000,0.000000,-1.000000,R_uncontested,False,14203,37433,0.275060,-0.449880,R,True,-0.030650,,,
76,-0.142312,-0.137596,-0.134597,-0.129785,-0.160816,-0.122234,-0.144242,-0.160098,-0.156834,-0.150268,,,,,,False,,,,,,False,0.000000,33070.000000,0.000000,-1.000000,R_uncontested,False,15738,40352,0.280585,-0.438830,R,True,-0.020537,,,
71,-0.144115,-0.161259,-0.151243,-0.139865,-0.151717,-0.130234,-0.135716,-0.144514,-0.145324,-0.147303,,,,,,False,,,,,,False,11895.000000,29300.000000,0.288749,-0.422503,R,True,16485,39278,0.295626,-0.408748,R,True,-0.003693,0.058282,,
30,-0.146077,-0.196248,-0.191968,-0.185917,-0.140834,-0.129749,-0.141911,-0.137009,-0.115146,-0.121983,14886.000000,33652.000000,0.306688,-0.386625,R,True,0.000000,42269.000000,0.000000,-1.000000,R_uncontested,False,13701.000000,34356.000000,0.285099,-0.429802,R,True,19486,42863,0.312531,-0.374938,R,True,0.015174,0.056595,,-0.027985
97,-0.149779,-0.136999,-0.117187,-0.105141,-0.163492,-0.146468,-0.152622,-0.152431,-0.169081,-0.163970,12404.000000,26678.000000,0.317384,-0.365232,R,True,16079.000000,36924.000000,0.303360,-0.393280,R,True,0.000000,28383.000000,0.000000,-1.000000,R_uncontested,False,0,35081,0.000000,-1.000000,R_uncontested,False,,,-0.006094,-0.013587
12,-0.157804,-0.146823,-0.160130,-0.149890,-0.175827,-0.140489,-0.163411,-0.160921,-0.168374,-0.161887,,,,,,False,,,,,,False,0.000000,29571.000000,0.000000,-1.000000,R_uncontested,False,14894,40109,0.270785,-0.458430,R,True,-0.014845,,,
79,-0.170145,-0.142942,-0.145135,-0.142827,-0.192200,-0.168048,-0.166972,-0.169681,-0.192646,-0.179496,,,,,,False,,,,,,False,10193.000000,29256.000000,0.258384,-0.483232,R,True,14122,41502,0.253883,-0.492234,R,True,-0.019406,0.053948,,
81,-0.175488,-0.179213,-0.177277,-0.127137,-0.180336,-0.178940,-0.171262,-0.157016,-0.175330,-0.175661,,,,,,False,,,,,,False,0.000000,34309.000000,0.000000,-1.000000,R_uncontested,False,13046,43757,0.229671,-0.540658,R,True,-0.038275,,,
55,-0.176618,-0.213218,-0.211030,-0.222645,-0.177282,-0.156767,-0.163518,-0.174264,-0.161847,-0.171803,,,,,,False,,,,,,False,13167.000000,39170.000000,0.251581,-0.496838,R,True,19583,51698,0.274730,-0.450541,R,True,0.007914,0.053618,,
